
pupSpawnChance: 0
overseersSpawnChance: 0.00
overseersMin: 0
overseersMax: 0 
Subregion: Empty Pipelines 
Subregion: Static Fortress
Subregion: Forsaken Wall
Subregion: Frozen Outline
Room_Attr: RA_s2: BlueLizard-Forbidden,
Room_Attr: RA_e1: BlueLizard-Forbidden,
Room_Attr: RA_c2: BlueLizard-Forbidden,
Room_Attr: RA_c3: BlueLizard-Forbidden,
Room_Attr: ra_c4: BlueLizard-Forbidden,
Room_Attr: RA_t1: BlueLizard-Forbidden,
Room_Attr: RA_m1: BlueLizard-Stay,
Room_Attr: RA_g1: BlueLizard-Like,
Room_Attr: RA_WA: BlueLizard-Stay,
